Name,Organism
UW049113,Sebastes semicinctus
UW114023,Sebastes semicinctus
UW114031,Sebastes serriceps
UW202935,Sebastes serriceps
UW114049,Sebastes simulator
UW159881,Sebastes simulator
UW159882,Sebastes simulator
UW114032,Sebastes umbrosus
UW150015,Sebastes umbrosus
UW150016,Sebastes umbrosus
UW156308,Sebastes umbrosus
AB778921,Sebastes variabilis
NC_060711,Sebastes variabilis
OK048742,Sebastes variabilis
NC_082788,Sebastes variegatus
OR482544,Sebastes variegatus
OR641552,Sebastes variegatus
OR641553,Sebastes variegatus
UW159883,Sebastes variegatus
NC_082762,Sebastes wilsoni
OR482516,Sebastes wilsoni
UW119949,Sebastes wilsoni
UW153448,Sebastes wilsoni
NC_082763,Sebastes zacentrus
OR482517,Sebastes zacentrus
OR641499,Sebastes zacentrus
OR641554,Sebastes zacentrus
NC_082820,Sebastolobus alascanus
OR482578,Sebastolobus alascanus
OR641556,Sebastolobus alascanus
OR641557,Sebastolobus alascanus
OR641559,Sebastolobus alascanus
UW201647,Sebastolobus alascanus
UW202205,Sebastolobus alascanus
