sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
43699	43699	1	43699_S88_L001_R1_001.fastq.gz	43699_S88_L001_R2_001.fastq.gz	5066	5066	4714	4714	4690	4690	3818	3818	0
ABLG-10015	ABLG-10015	1	ABLG-10015_S30_L001_R1_001.fastq.gz	ABLG-10015_S30_L001_R2_001.fastq.gz	249	249	248	248	248	248	248	248	248
ABLG-10020	ABLG-10020	1	ABLG-10020_S37_L001_R1_001.fastq.gz	ABLG-10020_S37_L001_R2_001.fastq.gz	59	59	56	56	56	56	56	56	56
ABLG-10023	ABLG-10023	1	ABLG-10023_S38_L001_R1_001.fastq.gz	ABLG-10023_S38_L001_R2_001.fastq.gz	326	326	295	295	295	295	289	289	289
ABLG-10032	ABLG-10032	1	ABLG-10032_S35_L001_R1_001.fastq.gz	ABLG-10032_S35_L001_R2_001.fastq.gz	341	341	313	313	313	313	313	313	313
ABLG-10058	ABLG-10058	1	ABLG-10058_S36_L001_R1_001.fastq.gz	ABLG-10058_S36_L001_R2_001.fastq.gz	337	337	317	317	317	317	316	316	316
ABLG-10124	ABLG-10124	1	ABLG-10124_S40_L001_R1_001.fastq.gz	ABLG-10124_S40_L001_R2_001.fastq.gz	288	288	264	264	264	264	257	257	257
ABLG-10130	ABLG-10130	1	ABLG-10130_S39_L001_R1_001.fastq.gz	ABLG-10130_S39_L001_R2_001.fastq.gz	279	279	258	258	257	257	255	255	255
ABLG-10590	ABLG-10590	1	ABLG-10590_S44_L001_R1_001.fastq.gz	ABLG-10590_S44_L001_R2_001.fastq.gz	366	366	364	364	364	364	364	364	364
ABLG-10622	ABLG-10622	1	ABLG-10622_S43_L001_R1_001.fastq.gz	ABLG-10622_S43_L001_R2_001.fastq.gz	310	310	306	306	304	304	304	304	304
ABLG-10628	ABLG-10628	1	ABLG-10628_S42_L001_R1_001.fastq.gz	ABLG-10628_S42_L001_R2_001.fastq.gz	355	355	329	329	329	329	329	309	309
ABLG-10689	ABLG-10689	1	ABLG-10689_S45_L001_R1_001.fastq.gz	ABLG-10689_S45_L001_R2_001.fastq.gz	337	337	337	337	337	337	332	332	332
ABLG-10709	ABLG-10709	1	ABLG-10709_S41_L001_R1_001.fastq.gz	ABLG-10709_S41_L001_R2_001.fastq.gz	368	368	334	334	334	334	334	334	334
ABLG-11428	ABLG-11428	1	ABLG-11428_S46_L001_R1_001.fastq.gz	ABLG-11428_S46_L001_R2_001.fastq.gz	338	338	337	337	337	337	332	332	332
ABLG-11514	ABLG-11514	1	ABLG-11514_S47_L001_R1_001.fastq.gz	ABLG-11514_S47_L001_R2_001.fastq.gz	262	262	259	259	259	259	255	255	255
ABLG-11698	ABLG-11698	1	ABLG-11698_S48_L001_R1_001.fastq.gz	ABLG-11698_S48_L001_R2_001.fastq.gz	304	304	303	303	303	303	302	302	302
ABLG-11754	ABLG-11754	1	ABLG-11754_S49_L001_R1_001.fastq.gz	ABLG-11754_S49_L001_R2_001.fastq.gz	349	349	347	347	347	347	345	345	345
ABLG-11758	ABLG-11758	1	ABLG-11758_S50_L001_R1_001.fastq.gz	ABLG-11758_S50_L001_R2_001.fastq.gz	418	418	417	417	416	416	414	414	414
ABLG-11934	ABLG-11934	1	ABLG-11934_S53_L001_R1_001.fastq.gz	ABLG-11934_S53_L001_R2_001.fastq.gz	317	317	316	316	316	316	314	314	314
ABLG-11942	ABLG-11942	1	ABLG-11942_S51_L001_R1_001.fastq.gz	ABLG-11942_S51_L001_R2_001.fastq.gz	267	267	266	266	265	265	265	265	265
ABLG-11955	ABLG-11955	1	ABLG-11955_S54_L001_R1_001.fastq.gz	ABLG-11955_S54_L001_R2_001.fastq.gz	359	359	357	357	341	341	304	304	304
ABLG-11956	ABLG-11956	1	ABLG-11956_S52_L001_R1_001.fastq.gz	ABLG-11956_S52_L001_R2_001.fastq.gz	303	303	300	300	300	300	300	300	300
ABLG-12278	ABLG-12278	1	ABLG-12278_S55_L001_R1_001.fastq.gz	ABLG-12278_S55_L001_R2_001.fastq.gz	256	256	248	248	248	248	248	248	248
ABLG-12320	ABLG-12320	1	ABLG-12320_S79_L001_R1_001.fastq.gz	ABLG-12320_S79_L001_R2_001.fastq.gz	324	324	289	289	288	288	284	284	284
ABLG-12479	ABLG-12479	1	ABLG-12479_S58_L001_R1_001.fastq.gz	ABLG-12479_S58_L001_R2_001.fastq.gz	351	351	349	349	349	349	345	345	345
ABLG-12537	ABLG-12537	1	ABLG-12537_S57_L001_R1_001.fastq.gz	ABLG-12537_S57_L001_R2_001.fastq.gz	374	374	370	370	370	370	367	367	367
ABLG-14835	ABLG-14835	1	ABLG-14835_S59_L001_R1_001.fastq.gz	ABLG-14835_S59_L001_R2_001.fastq.gz	292	292	290	290	290	290	290	290	290
ABLG-14842	ABLG-14842	1	ABLG-14842_S60_L001_R1_001.fastq.gz	ABLG-14842_S60_L001_R2_001.fastq.gz	344	344	343	343	343	343	342	342	342
ABLG-14867	ABLG-14867	1	ABLG-14867_S62_L001_R1_001.fastq.gz	ABLG-14867_S62_L001_R2_001.fastq.gz	286	286	284	284	284	284	257	257	257
ABLG-14895	ABLG-14895	1	ABLG-14895_S61_L001_R1_001.fastq.gz	ABLG-14895_S61_L001_R2_001.fastq.gz	243	243	242	242	242	242	241	241	241
ABLG-1885	ABLG-1885	1	ABLG-1885_S67_L001_R1_001.fastq.gz	ABLG-1885_S67_L001_R2_001.fastq.gz	301	301	298	298	297	297	294	294	294
ABLG-1892	ABLG-1892	1	ABLG-1892_S68_L001_R1_001.fastq.gz	ABLG-1892_S68_L001_R2_001.fastq.gz	213	213	211	211	211	211	209	209	209
ABLG-19266	ABLG-19266	1	ABLG-19266_S63_L001_R1_001.fastq.gz	ABLG-19266_S63_L001_R2_001.fastq.gz	312	312	309	309	309	309	308	308	308
ABLG-19352	ABLG-19352	1	ABLG-19352_S64_L001_R1_001.fastq.gz	ABLG-19352_S64_L001_R2_001.fastq.gz	343	343	342	342	342	342	340	340	340
ABLG-19416	ABLG-19416	1	ABLG-19416_S66_L001_R1_001.fastq.gz	ABLG-19416_S66_L001_R2_001.fastq.gz	324	324	323	323	323	323	319	319	319
ABLG-19455	ABLG-19455	1	ABLG-19455_S65_L001_R1_001.fastq.gz	ABLG-19455_S65_L001_R2_001.fastq.gz	295	295	294	294	294	294	294	294	294
